trial	slot	rank_before	candidate_norm	orthogonal_height	orthogonal_ratio	new_block_dim	new_block_norm	new_block_projection_share	previous_coefficient	previous_abs_coefficient	previous_coeff_num	previous_coeff_den	previous_coeff_rational	previous_coeff_rational_error	previous_residual_corr	previous_energy_share	last_increment_corr	new_block_max_energy_share	new_block_last_energy_share	alpha_l2	alpha_max_abs	alpha_coefficients	alpha_rationals
121	3	19	58.13676672300831	0.6234500510885326	0.01072385146664503	2	29.683450902672405	0.5161143995919995	-7.005138617082081	7.005138617082081	-7	1	-7.0	0.005138617082081076	0.18360183220401835	0.9992543076882819	0.9996270843110855	0.9992543076882819	0.9992543076882819	43.901848775884844	43.33936269600797	-43.339362696008 -7.00513861708208	-130/3:0.00602936 -7/1:0.00513862
121	4	20	66.85522328599657	0.593745762254585	0.008881067672373632	3	43.36727939627623	0.6544870566874608	-8.28149007476098	8.28149007476098	-58	7	-8.285714285714286	0.00422421095330705	0.22441762356719056	0.9859535573527239	0.9929519411092985	0.9859535573527239	0.9859535573527239	360.0927442224928	355.40309100075734	-355.403091000757 -57.3310061915421 -8.28149007476098	-1777/5:0.003091 -172/3:0.00232714 -58/7:0.00422421
122	1	17	66.73260694809159	0.32168935551753464	0.0048205722843671145	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
122	2	18	64.2901711271424	0.6870322019820136	0.010686426710909133	1	38.0834405488349	0.5987666834123764	10.880522290862526	10.880522290862526	87	8	10.875	0.005522290862526091	1.0	1.0	1.0	1.0	1.0	10.880522290862526	10.880522290862526	10.8805222908625	87/8:0.00552229
122	3	19	64.84673155738523	0.7486685438396279	0.011545200904645501	2	43.380389502462435	0.6767815978042117	-7.700569971443326	7.700569971443326	-77	10	-7.7	0.0005699714433253789	0.37351059807375214	0.9391379471809403	0.9690912997137784	0.9391379471809403	0.9391379471809403	81.28694635840857	80.92137461999579	80.9213746199958 -7.70056997144333	971/12:0.00470795 -77/10:0.000569971
122	4	20	66.13181940102864	1.263662974850547	0.01910824450764909	3	42.49911315486127	0.65516141503461	-6.913336480186145	6.913336480186145	-83	12	-6.916666666666667	0.0033301864805217463	0.06872410726543081	0.841947687778474	0.9175770745711087	0.841947687778474	0.841947687778474	588.5585579706328	585.9082614759799	585.90826147598 -55.3614583747334 -6.91333648018615	6445/11:0.000829433 -609/11:0.00217799 -83/12:0.00333019
123	1	17	66.24277921750169	0.1313720621536021	0.0019831906768623757	0	0.0	0.0	nan	nan					nan	nan	nan	nan	nan	0.0	0.0		
123	2	18	65.31838181157138	0.4872573795604467	0.007459728273215233	1	38.67843435973956	0.5966028616440554	17.158642845568725	17.158642845568725	103	6	17.166666666666668	0.008023821097943085	1.0	1.0	1.0	1.0	1.0	17.158642845568725	17.158642845568725	17.1586428455687	103/6:0.00802382
123	3	19	66.70019352734631	0.5920624676581241	0.008876473010762484	2	39.077569460899525	0.5911159313461287	-8.80086474072373	8.80086474072373	-44	5	-8.8	0.0008647407237294402	0.07419780007038955	0.9657874873403962	0.9827448739832715	0.9657874873403962	0.9657874873403962	154.45194413328477	154.2009981367397	154.20099813674 -8.80086474072373	771/5:0.000998137 -44/5:0.000864741
123	4	20	63.155900859365865	1.8938436343659077	0.0299868042193409	3	37.282518117025475	0.6085743738591126	7.551905479268352	7.551905479268352	68	9	7.555555555555555	0.0036500762872035963	0.1752517811773101	0.9056812674015248	0.9516728783576449	0.9056812674015248	0.9056812674015248	1209.7286353321565	1207.744583889109	-1207.74458388911 68.843009469058 7.55190547926835	-4831/4:0.00541611 413/6:0.00967614 68/9:0.00365008
