observation_id,family,parameter,native_parameter,generic_subgroup_rank,retained_rank_lower_bound,retained_quotient_rank,full_curve_rank,cohort,phase,boxes,score_units,dictionary_coverage,dictionary_size,compatible_cover_count,simultaneous_carrier_genus,simultaneous_carrier_degree,split_quartet_count
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:24,published-R17,-3871/1618,-3871/1618,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94909736597760,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:25,published-R17,-1318/2675,-1318/2675,17,20,3,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94889501453592,COMPLETE_NATIVE_ATLAS,39120,2,1,4,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:26,published-R17,2263/1084,2263/1084,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94880769019076,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:27,published-R17,-3459/2327,-3459/2327,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94846764412970,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:28,published-R17,-4035/1852,-4035/1852,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94796570896704,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:29,published-R17,-3086/3229,-3086/3229,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94611834913966,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:30,published-R17,856/1327,856/1327,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94608479647482,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:31,published-R17,-1929/3242,-1929/3242,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94605690379262,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:32,published-R17,3056/609,3056/609,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94579515394546,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:33,published-R17,-2300/843,-2300/843,17,24,7,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94547784214082,COMPLETE_NATIVE_ATLAS,39120,3,5,8,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:34,published-R17,-601/1570,-601/1570,17,18,1,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94535306551850,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:35,published-R17,-1193/1560,-1193/1560,17,23,6,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94436730922224,COMPLETE_NATIVE_ATLAS,39120,1,0,2,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:36,published-R17,-278/2615,-278/2615,17,17,0,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94426080150090,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
compact_r17_initial_measurements_v1.json:compact-r17-top64-v1:38,published-R17,1207/1194,1207/1194,17,19,2,UNKNOWN,compact-r17-top64-v1,initial_measurement,43,94349353689705,COMPLETE_NATIVE_ATLAS,39120,0,0,1,0
