orbit_mask	category	minimum_norm	reduced_basis_w	parent_MW17_w	lattice_class_at_minimum
78688	genus_one	8	0 0 0 0 0 1 -1 0 -1 -1 2 -2 -1 1 2 0 -1	0 0 0 1 1 1 1 -1 -1 0 -1 1 1 -3 0 2 -1	2O+4F+phi(w)
78690	genus_one	8	0 1 0 0 0 1 -1 0 -1 -1 2 -2 -1 1 2 0 -1	0 1 0 1 1 1 1 -1 -1 0 -1 1 1 -3 0 2 -1	2O+4F+phi(w)
78691	rational	10	-1 -1 2 0 0 1 1 -2 -3 1 0 -2 1 -1 2 0 -1	-1 1 2 -1 1 1 -1 1 -1 0 -1 1 -1 -1 0 2 -1	2O+4F+phi(w)
78693	genus_one	8	1 0 1 0 0 -1 1 2 -1 -1 0 0 1 1 0 -2 1	1 -2 -2 0 -1 -3 1 1 -1 0 1 -3 -1 5 2 -2 1	2O+4F+phi(w)
78694	rational	10	0 1 -1 0 0 -1 1 0 1 1 -2 2 -1 -1 -2 0 1	0 -1 0 0 -1 -1 1 1 1 0 1 -1 -1 1 0 -2 1	2O+4F+phi(w)
78695	genus_one	8	-1 -1 1 0 2 -1 1 -2 -1 1 0 0 1 -1 0 0 -1	-1 1 2 -2 -1 1 -1 1 1 0 -1 1 -1 1 0 0 -1	2O+4F+phi(w)
78696	genus_one	8	0 0 0 -1 0 1 1 0 -1 1 -2 0 1 -1 0 0 1	0 0 -1 -1 1 -1 1 1 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
78698	rational	10	0 -1 0 -1 0 1 -1 0 1 1 -2 0 1 -1 0 2 1	0 1 -1 1 1 1 1 -1 -1 0 1 1 1 -3 -2 2 1	2O+4F+phi(w)
78699	genus_one	8	-1 -1 2 -1 0 1 1 -2 -3 1 0 -2 1 -1 2 0 -1	-1 1 1 -1 1 1 -1 1 -1 0 -1 1 -1 -1 0 2 -1	2O+4F+phi(w)
78700	rational	10	0 0 -1 -1 0 1 -1 0 1 1 -2 0 -1 -1 0 2 1	0 0 -1 2 1 1 3 -1 -1 0 1 1 1 -5 -2 2 1	2O+4F+phi(w)
78701	genus_one	8	-1 0 1 -1 0 1 1 0 -1 1 -2 0 1 -1 0 0 1	-1 0 -1 0 1 -1 1 1 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
78702	genus_one	8	0 -1 1 -1 0 1 1 0 -1 1 -2 0 1 -1 0 0 1	0 -1 -1 0 1 -1 1 1 -1 0 1 -1 -1 1 0 0 1	2O+4F+phi(w)
78703	rational	10	1 1 -1 -1 0 1 -1 0 1 -1 0 0 -1 -1 0 0 1	-1 -1 1 2 -1 1 1 1 -1 2 -1 -1 -1 -1 0 0 1	2O+4F+phi(w)
