priority	mask	hex	multiplicity	witness
218	58638	0x0e50e	23	0 1 1 1 0 -2 -2 2 -1 0 -1 -2 0 1 1 -1 0
219	42521	0x0a619	22	1 0 0 1 3 -2 -4 0 -2 1 1 -2 0 1 -2 -1 -2
220	75059	0x12533	21	1 -1 0 0 1 1 0 0 -1 0 1 0 0 -1 -2 0 -1
221	93844	0x16e94	21	2 0 1 0 3 -4 -6 1 -2 1 -1 -3 0 3 -3 -2 -3
222	81725	0x13f3d	21	1 0 1 1 1 -3 -4 2 -1 1 -1 -3 -1 3 -2 -2 -3
223	18158	0x046ee	21	2 -1 1 1 2 -1 -3 1 -2 1 1 -2 -2 0 -3 0 -2
224	48111	0x0bbef	20	1 1 1 1 2 -3 -5 1 -1 1 0 -3 -1 1 -2 -1 -2
225	102857	0x191c9	23	1 0 0 1 2 0 -3 -1 -1 0 2 -2 -1 0 -2 1 -1
226	113165	0x1ba0d	21	1 0 1 1 2 -2 -4 0 -2 -1 0 -3 -1 1 -2 -1 -1
227	56608	0x0dd20	22	2 0 2 2 4 -5 -8 2 -3 2 -1 -5 -1 4 -3 -1 -4
228	115265	0x1c241	20	1 0 2 2 2 -2 -5 2 -2 1 0 -4 -2 2 -3 1 -3
229	14900	0x03a34	20	0 0 1 0 1 -1 -2 0 0 1 0 -1 -1 1 -2 0 -2
230	29253	0x07245	20	1 0 1 2 2 -2 -5 0 -2 1 0 -2 -1 1 -3 0 -2
231	59519	0x0e87f	22	1 -1 -1 -1 1 1 1 -2 0 0 2 1 0 -1 -1 1 0
232	122735	0x1df6f	21	1 1 1 1 2 -3 -5 2 -1 1 -1 -3 -1 2 -3 -1 -3
233	84494	0x14a0e	21	2 -1 1 1 2 -2 -4 2 -2 1 0 -3 -2 2 -3 0 -3
234	19458	0x04c02	21	0 1 0 0 2 0 -2 -2 0 0 1 -1 0 0 -1 0 0
235	128622	0x1f66e	21	0 1 1 1 2 -3 -5 2 0 1 -1 -4 -1 3 -3 -1 -3
236	100147	0x18733	23	1 1 0 0 3 -5 -6 2 -1 1 -1 -4 0 4 -2 -3 -3
237	43866	0x0ab5a	21	2 -1 0 -1 1 2 1 -2 -1 -1 2 1 0 -3 -2 1 0
238	4628	0x01214	21	2 -2 -1 -2 1 2 2 -2 0 -1 2 2 1 -2 0 0 0
239	6469	0x01945	21	1 0 1 0 0 0 -1 2 -1 0 0 -1 -1 0 0 0 0
240	48000	0x0bb80	21	2 0 2 2 4 -4 -8 1 -3 1 0 -5 -1 3 -4 -1 -4
241	54003	0x0d2f3	23	1 1 2 2 3 -3 -7 1 -2 1 0 -4 -1 2 -3 -1 -2
242	63525	0x0f825	20	1 0 -1 0 2 -1 -2 0 0 0 0 -1 1 1 -1 -1 -2
243	124138	0x1e4ea	22	0 1 0 1 2 -1 -3 -1 0 0 1 -2 0 1 -1 -1 -1
244	67458	0x10782	22	0 1 0 0 2 -2 -4 1 -1 1 1 -2 -2 2 -2 0 -1
245	54401	0x0d481	20	1 0 0 0 0 0 0 -1 0 0 1 0 -1 0 -1 -1 0
246	98260	0x17fd4	22	2 0 1 2 3 -2 -5 1 -3 1 1 -3 -1 1 -3 0 -3
247	28771	0x07063	21	1 -1 0 0 0 3 3 -2 0 0 2 2 -1 -3 -1 2 0
248	82576	0x14290	20	2 0 2 2 3 -2 -6 1 -2 1 0 -4 -2 2 -3 0 -3
